1441,1001,1,16,0,90,1
736,895,1,112,0,90,1
301,829,1,176,0,90,1
1079,1029,1,64,0,81,1
624,957,1,128,0,81,1
197,890,1,192,0,81,1
1440,1168,1,16,0,72,1
736,1055,1,112,0,72,1
302,984,1,176,0,72,1
1078,1192,1,64,0,63,1
625,1116,1,128,0,63,1
196,1043,1,192,0,63,1
1436,1332,1,16,0,54,1
736,1213,1,112,0,54,1
302,1137,1,176,0,54,1
1076,1353,1,64,0,45,1
625,1272,1,128,0,45,1
196,1195,1,192,0,45,1
1434,1496,1,16,0,36,1
734,1370,1,112,0,36,1
303,1288,1,176,0,36,1
1077,1513,1,64,0,27,1
624,1427,1,128,0,27,1
196,1347,1,192,0,27,1
1431,1658,1,16,0,18,1
734,1526,1,112,0,18,1
303,1444,1,176,0,18,1
1075,1670,1,64,0,9,1
